,AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
15201,A678623,,2014-05-15 16:30:00,Transfer,Partner,Dog,Spayed Female,2 years,Miniature Schnauzer Mix,Gray/White
15202,A685677,Howdy,2014-09-02 18:31:00,Adoption,,Dog,Neutered Male,8 years,Siberian Husky Mix,Brown/White
15203,A664242,Lizzard,2013-10-30 18:35:00,Return_to_owner,,Dog,Spayed Female,2 months,Pit Bull Mix,Brown Brindle/White
15204,A699769,Roger Rabbit,2015-04-02 00:00:00,Transfer,Partner,Dog,Intact Male,1 month,Shih Tzu Mix,White/Black
15205,A378818,Zoe,2014-07-07 16:34:00,Return_to_owner,,Dog,Spayed Female,10 years,Weimaraner Mix,Tan
15206,A696631,Bella,2015-02-09 11:33:00,Return_to_owner,,Dog,Intact Female,3 years,English Bulldog,Tan/White
15210,A703983,Victoria,2015-12-27 11:37:00,Transfer,Partner,Dog,Spayed Female,1 year,Carolina Dog Mix,Tan/White
15211,A673508,Holly,2014-03-08 15:43:00,Adoption,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Brown/White
15213,A679516,Tillie,2014-06-11 11:09:00,Transfer,Partner,Dog,Spayed Female,10 years,Shetland Sheepdog,Black/Brown
15215,A709297,Sirius,2016-01-09 16:17:00,Adoption,,Dog,Neutered Male,2 years,German Shepherd Mix,Black/White
15216,A707943,London,2015-07-24 16:50:00,Adoption,,Dog,Spayed Female,1 month,Rottweiler Mix,Black/Tan
15218,A671094,Gina,2014-01-29 15:07:00,Transfer,Partner,Dog,Spayed Female,4 months,Australian Cattle Dog Mix,Black/White
15219,A720612,Cocoa,2016-02-14 13:25:00,Return_to_owner,,Dog,Spayed Female,10 years,Rat Terrier Mix,White/Brown
15222,A681506,Alex,2014-07-08 12:34:00,Adoption,,Dog,Neutered Male,3 years,Rottweiler Mix,Black/Brown
15223,A693215,Lola,2015-03-20 14:44:00,Transfer,Partner,Dog,Spayed Female,5 years,Australian Cattle Dog/Pointer,White/Black
15225,A671439,Faith,2014-01-24 13:28:00,Euthanasia,Suffering,Dog,Spayed Female,14 years,Boxer Mix,Tan/White
15227,A649385,Dusty,2013-10-10 09:59:00,Euthanasia,Aggressive,Dog,Spayed Female,4 years,Pit Bull Mix,Blue/White
15228,A707297,Dot,2015-09-11 13:07:00,Adoption,Foster,Dog,Spayed Female,2 months,Chihuahua Longhair,Tricolor/Brown
15229,A708368,Kountry,2015-07-30 17:15:00,Adoption,,Dog,Spayed Female,3 months,Pit Bull/Catahoula,Brown/White
15230,A705907,Snow,2015-09-16 16:12:00,Transfer,Partner,Dog,Spayed Female,11 months,Siberian Husky Mix,White/Black
15231,A717944,Lassie,2015-12-23 19:02:00,Adoption,,Dog,Spayed Female,9 months,Chihuahua Longhair Mix,Brown/Black
15232,A689010,Daisy,2015-03-05 14:29:00,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White
15233,A711537,,2015-09-12 14:02:00,Transfer,Partner,Dog,Intact Female,5 months,German Shepherd Mix,Tricolor
15234,A667405,,2013-11-21 16:45:00,Transfer,Partner,Dog,Neutered Male,7 years,Beagle Mix,Tricolor
15235,A688983,Captain,2014-10-01 18:43:00,Adoption,,Dog,Neutered Male,2 years,Miniature Schnauzer/Miniature Poodle,White
15238,A706328,Boss Hogg,2015-07-21 11:34:00,Adoption,,Dog,Neutered Male,3 years,Rottweiler Mix,Black/Brown
15239,A536132,Alice,2015-12-07 12:52:00,Transfer,Partner,Dog,Spayed Female,6 years,Labrador Retriever Mix,Brown/Black
15241,A707253,Goowa,2016-01-29 16:57:00,Transfer,Partner,Dog,Neutered Male,3 years,Pit Bull Mix,Apricot/Brown
15244,A695214,Penelope,2015-01-18 12:02:00,Adoption,,Dog,Spayed Female,8 years,Chihuahua Shorthair Mix,Buff/Tan
15246,A686261,Jackson,2014-08-29 17:59:00,Transfer,Partner,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Red/White
15247,A682548,Slugger,2014-07-03 11:57:00,Adoption,,Dog,Neutered Male,2 years,Shetland Sheepdog Mix,Black/White
15249,A695531,Harvey,2015-01-17 17:22:00,Return_to_owner,,Dog,Neutered Male,6 years,Golden Retriever Mix,Brown
15250,A686014,,2014-08-18 15:34:00,Transfer,Partner,Dog,Intact Female,2 months,Labrador Retriever/Pointer,Black
15254,A693312,,2014-12-10 15:23:00,Transfer,Partner,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,Yellow
15255,A714282,Deliah,2015-11-13 18:36:00,Transfer,Partner,Dog,Spayed Female,5 years,Labrador Retriever Mix,Tan
15256,A699815,Bailey,2015-04-06 17:36:00,Adoption,,Dog,Spayed Female,5 months,Chihuahua Longhair Mix,Tan/White
15258,A663168,Archer,2013-10-14 18:44:00,Return_to_owner,,Dog,Neutered Male,1 year,Catahoula Mix,Brown Merle
15259,A709658,Slava,2015-08-13 11:54:00,Return_to_owner,,Dog,Neutered Male,14 years,Siberian Husky,Black/White
15260,A719219,Penny,2016-02-14 15:44:00,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Brown
15261,A704278,Candy,2015-06-07 18:37:00,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Red/White
15262,A706081,Diamond,2015-06-24 19:17:00,Return_to_owner,,Dog,Neutered Male,2 years,Australian Shepherd Mix,Brown Brindle
15263,A693752,Lucas,2014-12-14 14:55:00,Transfer,Partner,Dog,Intact Male,2 months,Border Terrier/Labrador Retriever,White/Cream
15264,A672091,,2014-02-04 10:58:00,Euthanasia,Suffering,Dog,Intact Female,2 years,Border Collie/Labrador Retriever,Chocolate/White
15266,A707478,Junebug,2015-08-16 17:28:00,Adoption,,Dog,Spayed Female,8 years,Chihuahua Shorthair Mix,Black/White
15267,A720195,Blaze,2016-02-08 17:05:00,Transfer,Partner,Dog,Spayed Female,3 years,Siberian Husky Mix,Black/White
15268,A705839,,2015-06-23 12:03:00,Transfer,Partner,Dog,Intact Female,6 months,Pug/Pit Bull,Tan/White
15272,A717179,,2015-12-03 16:14:00,Transfer,Partner,Dog,Unknown,1 week,Labrador Retriever Mix,White
15274,A695954,,2015-01-26 19:38:00,Euthanasia,Suffering,Dog,Intact Female,5 years,Chinese Sharpei Mix,Tan/Brown
15275,A669126,Vixen,2013-12-19 11:45:00,Transfer,Partner,Dog,Spayed Female,3 years,Pekingese Mix,Tan/Black
15276,A693323,Rocky,2015-01-12 13:17:00,Adoption,,Dog,Neutered Male,1 year,Parson Russell Terrier Mix,White/Orange
15277,A691194,,2014-11-09 18:54:00,Adoption,,Dog,Neutered Male,1 year,Dachshund/Chihuahua Shorthair,Brown Merle
15278,A430953,Jake,2014-04-05 18:29:00,Return_to_owner,,Dog,Neutered Male,10 years,Cocker Spaniel,Red
15279,A675009,Daisy,2014-03-30 12:13:00,Adoption,,Dog,Spayed Female,5 years,Chihuahua Shorthair/Dachshund,Black/Brown
15281,A688141,Cassandra,2014-09-29 14:04:00,Transfer,Partner,Dog,Intact Female,4 months,Doberman Pinsch,Black/Tan
15282,A684411,Apollo,2014-08-05 12:22:00,Adoption,,Dog,Neutered Male,3 years,Pit Bull Mix,White/Chocolate
15283,A676940,Ace,2014-04-17 13:24:00,Euthanasia,Rabies Risk,Dog,Intact Male,7 years,Chihuahua Shorthair Mix,Brown/White
15284,A668530,,2013-12-06 16:57:00,Euthanasia,Aggressive,Dog,Intact Female,2 years,Miniature Pinscher/Australian Cattle Dog,Black/Tan
15286,A707383,Poldark,2015-07-29 15:51:00,Transfer,Partner,Dog,Intact Male,3 months,Anatol Shepherd/Australian Shepherd,Tricolor
15287,A695308,Dolly,2015-01-14 14:19:00,Return_to_owner,,Dog,Spayed Female,13 years,Chihuahua Shorthair/Rat Terrier,White/Tricolor
15291,A614225,Whiskers,2014-03-23 18:07:00,Transfer,Partner,Dog,Neutered Male,2 years,Miniature Schnauzer/Yorkshire Terrier,Sable
15292,A662615,Leo,2013-11-16 15:21:00,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Chocolate/White
15293,A665000,,2013-10-15 13:33:00,Transfer,Partner,Dog,Intact Male,1 weeks,Australian Cattle Dog Mix,Tan/Brown
15294,A697063,Benjamin,2015-02-17 16:36:00,Return_to_owner,,Dog,Neutered Male,1 year,Chesa Bay Retr Mix,Chocolate/White
15297,A696286,Shiner,2015-02-02 13:02:00,Return_to_owner,,Dog,Spayed Female,4 years,Labrador Retriever Mix,Chocolate/White
15298,A685139,,2014-08-07 18:09:00,Adoption,,Dog,Spayed Female,3 months,Cavalier Span Mix,White/Black
15300,A693616,Ditch,2014-12-11 17:58:00,Return_to_owner,,Dog,Intact Male,13 years,Labrador Retriever Mix,Yellow
15303,A672352,Jack Black,2014-06-28 19:08:00,Adoption,,Dog,Neutered Male,2 years,Australian Cattle Dog Mix,Black/White
15305,A701718,Hades,2015-05-04 14:04:00,Return_to_owner,,Dog,Intact Male,3 years,Pit Bull/Black Mouth Cur,Tan
15306,A711812,,2015-09-27 15:48:00,Transfer,Partner,Dog,Intact Male,3 years,Jack Russell Terrier/Shih Tzu,White/Brown
15307,A720338,Jessie,2016-02-08 13:54:00,Return_to_owner,,Dog,Spayed Female,3 years,Labrador Retriever Mix,Tan
15310,A594793,Jake,2016-02-21 11:07:00,Return_to_owner,,Dog,Neutered Male,8 years,Manchester Terrier Mix,Black/Brown
15312,A702744,Bo,2015-05-22 11:36:00,Return_to_owner,,Dog,Intact Male,4 months,Labrador Retriever Mix,Black
15313,A688991,Shades,2014-10-01 12:25:00,Transfer,Partner,Dog,Intact Male,3 years,Shih Tzu,Sable/White
15314,A694573,Shelby,2015-02-22 13:35:00,Adoption,,Dog,Spayed Female,8 months,Boxer Mix,Brown/Black
15315,A685720,,2014-09-02 17:42:00,Adoption,,Dog,Spayed Female,3 months,German Shepherd Mix,Tan
15317,A704287,Bevo,2015-12-16 17:03:00,Return_to_owner,,Dog,Intact Male,11 years,American Staffordshire Terrier Mix,White/Tan
15318,A671192,Layla,2014-01-22 14:55:00,Return_to_owner,,Dog,Intact Female,1 year,Pit Bull Mix,Blue/White
15322,A683080,,2014-07-07 11:33:00,Transfer,Partner,Dog,Intact Male,4 months,Great Dane Mix,Blue/White
15325,A711055,Yummie,2015-09-03 18:27:00,Adoption,,Dog,Spayed Female,2 months,Manchester Terrier/Dachshund,Tricolor
15326,A685431,Bubbles,2014-08-11 11:44:00,Transfer,Partner,Dog,Intact Female,7 years,Shih Tzu Mix,Gray
15328,A670725,Rosie,2014-02-01 13:55:00,Adoption,Foster,Dog,Spayed Female,2 months,Pit Bull Mix,Brown Brindle/White
15329,A715773,Nemo,2015-11-15 12:27:00,Transfer,Partner,Dog,Neutered Male,1 year,Cairn Terrier Mix,White
15330,A574935,Blue,2014-10-01 12:11:00,Transfer,Partner,Dog,Neutered Male,10 years,Australian Cattle Dog Mix,Blue Merle/Black
15331,A684045,Ronin,2014-07-29 17:16:00,Return_to_owner,,Dog,Neutered Male,13 years,Alaskan Husky Mix,Red/Cream
15333,A674748,Candy,2014-03-18 12:44:00,Return_to_owner,,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Brown/White
15334,A682183,Roger Roger,2015-04-13 16:01:00,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
15335,A245945,Boomer,2015-05-25 11:49:00,Transfer,Partner,Dog,Neutered Male,15 years,Labrador Retriever Mix,Tan
15336,A664042,,2013-10-02 11:12:00,Euthanasia,Suffering,Dog,Intact Male,2 years,Chow Chow Mix,Black
15339,A675279,Filbert,2014-04-02 11:30:00,Transfer,Partner,Dog,Intact Male,3 years,Chihuahua Shorthair Mix,Tan
15342,A666946,Chico,2013-11-20 11:33:00,Return_to_owner,,Dog,Intact Male,4 years,Chihuahua Shorthair Mix,Tan/White
15343,A694456,Shaggy,2015-01-05 12:46:00,Adoption,,Dog,Neutered Male,8 years,Miniature Poodle Mix,Apricot
15345,A681468,Juneau,2014-06-24 16:45:00,Transfer,Partner,Dog,Intact Female,10 years,St. Bernard Smooth Coat Mix,Tricolor
15346,A701144,Penny,2015-06-25 09:40:00,Adoption,Foster,Dog,Spayed Female,2 years,Manchester Terrier/Dachshund,Black/Tan
15347,A693660,Red,2015-02-03 17:32:00,Return_to_owner,,Dog,Neutered Male,3 years,Black Mouth Cur Mix,Brown
15350,A695880,Vegas,2015-01-25 11:15:00,Return_to_owner,,Dog,Spayed Female,10 years,Labrador Retriever Mix,Black/White
15351,A670473,Jackson,2014-01-22 13:49:00,Return_to_owner,,Dog,Neutered Male,2 years,Rottweiler Mix,Black/Tan
15352,A690192,,2014-10-16 16:55:00,Transfer,Partner,Dog,Intact Male,1 month,Plott Hound Mix,Black
15353,A685605,Coco,2014-08-15 07:16:00,Transfer,Partner,Dog,Spayed Female,7 years,Pit Bull Mix,Brown/White
15354,A720330,Paco,2016-02-07 11:25:00,Return_to_owner,,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,White/Cream
15355,A697980,Chapi,2015-03-08 17:07:00,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tricolor
15358,A713465,Kiko,2015-10-18 17:20:00,Return_to_owner,,Dog,Neutered Male,1 year,Miniature Poodle Mix,Tan
15359,A690726,,2014-11-08 07:31:00,Adoption,,Dog,Spayed Female,3 years,Staffordshire Mix,Chocolate/White
15362,A644472,Sharpie,2014-06-08 17:49:00,Return_to_owner,,Dog,Neutered Male,3 years,German Shepherd/Chinese Sharpei,Black/Tan
15363,A690485,Jax,2014-10-25 14:19:00,Adoption,,Dog,Spayed Female,2 years,Cardigan Welsh Corgi/Cairn Terrier,Black/White
15364,A715560,Nola,2015-11-17 17:39:00,Return_to_owner,,Dog,Spayed Female,1 year,Labrador Retriever Mix,White
15365,A710757,Coraje,2015-09-04 18:44:00,Adoption,,Dog,Neutered Male,8 months,Pointer Mix,Tricolor
15370,A696583,Layla,2015-03-13 17:50:00,Adoption,,Dog,Spayed Female,2 years,Dachshund Mix,Black/Brown
15372,A672341,Mischief,2014-02-11 11:10:00,Adoption,,Dog,Spayed Female,6 years,Border Collie Mix,Black/White
15376,A681541,,2014-07-02 12:26:00,Euthanasia,Behavior,Dog,Intact Male,2 years,German Shepherd/Chow Chow,Brown
15377,A661916,Bella,2014-04-02 17:42:00,Euthanasia,Aggressive,Dog,Spayed Female,2 years,Pit Bull Mix,White/Brown
15378,A713962,,2015-10-15 18:59:00,Return_to_owner,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black
15379,A664454,,2013-10-12 17:27:00,Adoption,,Dog,Spayed Female,2 months,Pit Bull Mix,White/Brown Brindle
15381,A682953,Azia,2014-07-09 17:36:00,Adoption,,Dog,Spayed Female,10 months,Miniature Pinscher Mix,Black/Tan
15382,A676573,Daisy,2014-04-12 11:21:00,Return_to_owner,,Dog,Spayed Female,1 year,Australian Shepherd/Cocker Spaniel,Black/Tan
15383,A711200,Cookie,2015-09-07 18:14:00,Adoption,,Dog,Spayed Female,1 year,Rottweiler Mix,Black/Tan
15385,A680422,Duke,2014-06-09 14:59:00,Adoption,,Dog,Neutered Male,6 months,German Shepherd Mix,Buff/Black
15388,A698402,Sunny,2015-04-10 16:33:00,Transfer,Partner,Dog,Spayed Female,5 years,Australian Cattle Dog Mix,White/Red
15389,A711778,Lucky,2015-09-12 17:32:00,Return_to_owner,,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Black/White
15390,A673579,Charisma,2014-03-14 18:37:00,Adoption,,Dog,Spayed Female,5 months,Labrador Retriever/Pit Bull,Yellow
15392,A687112,,2014-09-04 17:14:00,Adoption,,Dog,Neutered Male,6 months,Chihuahua Shorthair Mix,Black/White
15393,A666989,Jojo,2013-11-14 11:51:00,Transfer,Partner,Dog,Intact Female,5 months,Shih Tzu Mix,Tan/Silver
15394,A665263,Max,2013-11-01 11:37:00,Adoption,,Dog,Neutered Male,3 months,Labrador Retriever Mix,Black
15396,A690794,Lennon,2014-11-15 11:14:00,Euthanasia,Aggressive,Dog,Neutered Male,1 year,Whippet Mix,Tan/Buff
15397,A606646,Merry,2014-06-03 14:34:00,Adoption,Foster,Dog,Spayed Female,6 years,English Bulldog Mix,Tan/White
15399,A666603,,2013-11-04 14:57:00,Transfer,Partner,Dog,Intact Female,0 years,Beagle/Chihuahua Shorthair,White
15400,A669469,Blacky,2014-10-18 15:58:00,Adoption,,Dog,Spayed Female,11 months,Labrador Retriever Mix,Black/White
15402,A676530,Finley,2014-04-19 13:17:00,Adoption,,Dog,Neutered Male,10 months,Pit Bull Mix,Black/White
15403,A651015,Clifford,2014-07-21 11:16:00,Transfer,Partner,Dog,Intact Male,4 years,Golden Retriever,Tan
15404,A663123,Travis,2013-10-06 14:08:00,Return_to_owner,,Dog,Neutered Male,10 months,Dachshund Wirehair/Standard Poodle,Black
15405,A688835,Olivia,2014-09-29 16:19:00,Transfer,Partner,Dog,Spayed Female,5 months,Labrador Retriever Mix,Tan
15407,A663714,Trigger,2013-11-15 17:09:00,Transfer,Partner,Dog,Neutered Male,2 years,Boxer/American Bulldog,Brown/White
15410,A673111,B.G.,2014-03-07 19:24:00,Adoption,,Dog,Spayed Female,5 years,Toy Poodle,Apricot
15416,A685655,Diamond,2014-08-10 18:44:00,Return_to_owner,,Dog,Intact Female,5 months,German Shepherd Mix,Black/Tan
15417,A671728,Dice,2014-03-16 14:40:00,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever Mix,Black
15418,A719206,Zeus,2016-01-25 15:37:00,Return_to_owner,,Dog,Intact Male,1 year,German Shepherd,Tan/Black
15419,A665848,Pedro,2014-03-10 17:00:00,Transfer,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tan
15421,A673420,Saphire,2015-12-04 19:25:00,Return_to_owner,,Dog,Spayed Female,3 years,Pit Bull Mix,Blue/White
15422,A612982,Bowser,2013-12-31 16:50:00,Return_to_owner,,Dog,Neutered Male,5 years,German Shepherd Mix,Brown/Black
15424,A670518,Paloma,2014-01-09 15:26:00,Euthanasia,Suffering,Dog,Intact Female,15 years,German Shepherd Mix,Brown/Black
15425,A697469,,2015-02-25 17:25:00,Return_to_owner,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Red/White
15426,A713822,Bodacious,2015-10-17 17:04:00,Adoption,,Dog,Neutered Male,10 months,American Bulldog Mix,Brown Merle/White
15427,A677672,,2014-04-30 14:39:00,Transfer,Partner,Dog,Intact Male,4 weeks,Blue Lacy/American Bulldog,Red
15428,A698076,Colt,2015-03-13 17:34:00,Adoption,,Dog,Neutered Male,1 year,German Shepherd Mix,Buff
15429,A715426,Bb,2015-11-04 19:00:00,Return_to_owner,,Dog,Neutered Male,9 months,Labrador Retriever Mix,Red
15431,A586186,Arthur,2013-12-03 18:18:00,Return_to_owner,,Dog,Neutered Male,5 years,Pit Bull,White
15432,A706606,Boyd,2015-07-23 14:09:00,Adoption,,Dog,Intact Male,1 month,Australian Shepherd Mix,Buff/White
15433,A687430,,2014-09-15 16:53:00,Transfer,Partner,Dog,Neutered Male,6 months,German Shepherd/Labrador Retriever,Black
15437,A677686,Max,2014-05-01 13:43:00,Return_to_owner,,Dog,Neutered Male,3 years,Alaskan Malamute Mix,Sable
15438,A671931,Sophia,2014-03-06 16:26:00,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Brown Brindle
15441,A714629,Peach,2015-11-07 16:17:00,Adoption,,Dog,Spayed Female,2 years,Queensland Heeler Mix,White
15443,A680396,Truman,2014-06-15 15:11:00,Transfer,Partner,Dog,Neutered Male,2 years,Rat Terrier Mix,White/Black
15444,A696349,,2015-03-07 16:09:00,Adoption,,Dog,Neutered Male,2 years,German Shepherd Mix,Tricolor
15445,A688906,Kirby,2014-11-08 15:54:00,Adoption,,Dog,Neutered Male,6 months,Chihuahua Shorthair Mix,Brown
15446,A208755,Kootrie,2015-02-17 16:25:00,Euthanasia,Suffering,Dog,Neutered Male,14 years,Border Collie Mix,Black/White
15450,A685382,Dachs,2014-09-29 11:28:00,Adoption,,Dog,Neutered Male,4 months,Chihuahua Shorthair/Dachshund,Red/White
15452,A663023,Cinnamon,2015-03-24 12:16:00,Transfer,Partner,Dog,Spayed Female,8 years,Lhasa Apso/Cocker Spaniel,Tan/White
15453,A671753,Susie,2014-02-06 11:40:00,Transfer,Partner,Dog,Spayed Female,2 years,Dachshund Mix,Red
15454,A684222,Brownie,2016-01-13 15:02:00,Return_to_owner,,Dog,Intact Male,4 years,Pit Bull Mix,Brown/White
15455,A674788,Sasha,2014-04-03 14:05:00,Adoption,,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,Brown
15456,A682580,,2014-07-23 16:02:00,Transfer,Partner,Dog,Intact Female,1 month,Miniature Poodle Mix,Black/White
15460,A670657,Gretel,2014-01-19 17:54:00,Adoption,,Dog,Spayed Female,2 months,Queensland Heeler Mix,Black/White
15461,A650148,Doughie Bear,2014-07-15 17:06:00,Adoption,,Dog,Neutered Male,3 years,Border Collie/Labrador Retriever,Black/White
15462,A665588,,2013-10-23 15:07:00,Transfer,Partner,Dog,Intact Female,1 year,Whippet/Miniature Pinscher,Tan
15463,A713295,Charlie,2015-10-17 18:57:00,Adoption,,Dog,Neutered Male,10 months,American Staffordshire Terrier,Black/White
15464,A681910,Nash,2014-06-26 12:09:00,Transfer,Partner,Dog,Intact Male,3 years,Boxer Mix,Brown/White
15471,A534780,Oliver,2014-01-13 19:30:00,Adoption,,Dog,Neutered Male,6 years,Parson Russell Terrier Mix,White/Tricolor
15473,A671915,Henry,2014-02-06 17:58:00,Adoption,,Dog,Neutered Male,1 year,Dachshund/Catahoula,Brown Merle/Black
15474,A675336,Runt Runt,2014-03-30 18:51:00,Return_to_owner,,Dog,Spayed Female,4 years,Standard Schnauzer Mix,Silver
15476,A707382,Harrison,2015-07-22 18:24:00,Adoption,,Dog,Neutered Male,6 years,Boxer Mix,Brown/White
15477,A690670,Teller,2015-09-14 12:39:00,Return_to_owner,,Dog,Neutered Male,4 years,Labrador Retriever Mix,Black/White
15478,A691606,Wolverine,2014-11-12 16:44:00,Return_to_owner,,Dog,Intact Male,3 years,Pit Bull Mix,Brown Brindle/White
15481,A711842,Banjo,2015-09-17 09:27:00,Transfer,Partner,Dog,Neutered Male,5 months,Labrador Retriever Mix,Black/Gray
15482,A718450,Elvis,2016-01-05 17:50:00,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black
15483,A717684,Otis,2015-12-17 13:17:00,Adoption,,Dog,Neutered Male,3 months,Chihuahua Shorthair Mix,Black/Tan
15484,A683484,Theodore,2014-07-11 11:54:00,Return_to_owner,,Dog,Neutered Male,4 years,Rat Terrier Mix,White/Tricolor
15485,A687159,Little John,2014-09-09 16:23:00,Adoption,,Dog,Neutered Male,11 years,Maltese Mix,White
15487,A701211,Carlos,2015-05-05 19:18:00,Adoption,,Dog,Intact Male,2 months,Labrador Retriever Mix,Brown/Cream
15489,A695695,Bob Barker,2015-01-20 15:19:00,Return_to_owner,,Dog,Neutered Male,5 years,Rottweiler/Labrador Retriever,Black/Tan
15493,A708611,Toby,2015-08-01 19:25:00,Adoption,,Dog,Neutered Male,9 years,Dachshund Mix,Black/Tan
15495,A635991,Kane,2013-10-14 15:51:00,Return_to_owner,,Dog,Neutered Male,2 years,Pit Bull Mix,Black/White
15496,A666802,,2013-11-11 16:57:00,Transfer,Partner,Dog,Neutered Male,4 years,Maltese Mix,White
15497,A697650,Rose,2015-03-08 15:20:00,Transfer,Partner,Dog,Spayed Female,2 years,Rat Terrier/Chihuahua Shorthair,Tricolor
15499,A717473,,2015-12-13 12:42:00,Adoption,,Dog,Spayed Female,2 months,Mastiff/Chinese Sharpei,Black/White
15504,A715877,Jd,2015-11-11 18:22:00,Return_to_owner,,Dog,Unknown,1 year,Carolina Dog Mix,Tan
15506,A665170,,2013-12-01 23:58:00,Transfer,Partner,Dog,Spayed Female,1 year,Cocker Spaniel Mix,Red
15507,A711258,Cash,2015-11-03 19:38:00,Adoption,,Dog,Neutered Male,3 years,Boxer Mix,White/Brown Brindle
15508,A708120,Nova,2015-09-02 13:33:00,Adoption,,Dog,Spayed Female,10 months,Labrador Retriever Mix,Black
15510,A678559,Gatsby,2014-05-14 08:00:00,Transfer,Partner,Dog,Intact Male,3 years,Pekingese/Lhasa Apso,Buff
15511,A669267,Barca,2014-01-04 17:43:00,Adoption,Foster,Dog,Spayed Female,2 months,Labrador Retriever/Pit Bull,Blue/White
15513,A684308,,2014-07-25 19:10:00,Transfer,Partner,Dog,Neutered Male,5 months,German Shepherd Mix,White
15516,A666421,Lady Hazel,2013-11-04 23:12:00,Return_to_owner,,Dog,Intact Female,1 year,Pit Bull Mix,Brown
15517,A702586,Tallulah,2015-06-01 13:38:00,Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,Fawn
15518,A694549,Boswell,2015-01-03 18:56:00,Adoption,,Dog,Neutered Male,2 months,Chihuahua Shorthair/Miniature Schnauzer,Black
15519,A693504,Diego,2014-12-16 13:27:00,Transfer,Partner,Dog,Spayed Female,7 months,Border Collie/Basenji,Black/White
15520,A697238,,2015-02-24 19:07:00,Adoption,,Dog,Spayed Female,1 year,Chihuahua Longhair Mix,Red/White
15521,A697273,Elezabeth,2015-05-02 14:37:00,Adoption,,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Tan
15522,A663985,Buster,2013-10-06 18:43:00,Adoption,,Dog,Neutered Male,2 years,Jack Russell Terrier/Beagle,White/Brown
15523,A705435,Bodhi,2015-06-27 11:16:00,Adoption,,Dog,Neutered Male,4 years,Dachshund Wirehair/Chihuahua Shorthair,Cream/Tan
15530,A666082,Diamond,2013-11-01 14:13:00,Transfer,Partner,Dog,Spayed Female,5 years,Boxer Mix,White/Brown
15531,A697711,Sammy,2015-02-28 14:11:00,Return_to_owner,,Dog,Spayed Female,4 months,Labrador Retriever Mix,White/Tricolor
15532,A698655,,2015-03-24 14:30:00,Transfer,Partner,Dog,Neutered Male,7 years,Yorkshire Terrier Mix,Buff
15536,A281542,George,2014-05-19 12:32:00,Adoption,Foster,Dog,Neutered Male,12 years,Labrador Retriever Mix,Black/Brown Brindle
15537,A710216,Skittles,2015-08-26 18:22:00,Adoption,,Dog,Spayed Female,2 months,Great Pyrenees/Catahoula,White/Brown Merle
15539,A679070,,2014-11-18 13:15:00,Euthanasia,Suffering,Dog,Neutered Male,11 months,Chihuahua Shorthair/Pug,Yellow/White
15544,A715076,,2015-11-05 17:32:00,Adoption,,Dog,Neutered Male,3 years,Maltese/Miniature Poodle,White
15549,A711377,Ruso,2015-09-07 18:47:00,Return_to_owner,,Dog,Neutered Male,3 months,Anatol Shepherd Mix,Brown/Tan
15551,A713125,Ophelia,2015-10-06 13:59:00,Transfer,Partner,Dog,Intact Female,1 year,Chihuahua Longhair Mix,Tricolor
15553,A706536,Butch,2016-02-19 19:15:00,Return_to_owner,,Dog,Neutered Male,5 years,English Bulldog,Tan/White
15556,A675612,Riddick,2014-04-28 16:39:00,Adoption,,Dog,Neutered Male,2 years,German Shepherd Mix,Black/Brown
15557,A707790,,2015-07-22 17:04:00,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black
15558,A672566,Cookies,2014-02-13 19:03:00,Return_to_owner,,Dog,Spayed Female,1 year,Pointer Mix,White/Black
15560,A601696,Lady,2015-02-15 16:53:00,Adoption,,Dog,Spayed Female,6 years,Labrador Retriever/Pit Bull,Black Smoke/White
15561,A667525,Skipper,2013-12-02 17:01:00,Adoption,,Dog,Spayed Female,1 year,Jack Russell Terrier,White/Brown
